FEATURE,IMPORTANCE,SUMMED_TOTAL
num__identify_count_sum,0.551607,0.551607
cat__first_utm_source_email,0.031941347,0.58354837
cat__source_category_Paid Search,0.028456245,0.61200464
cat__last_utm_source_sfmc,0.025088545,0.6370932
cat__first_utm_medium_email,0.025076125,0.66216934
cat__last_utm_source_email,0.014413275,0.67658263
num__page_count_sum,0.012656667,0.6892393
cat__source_category_Email,0.0097390525,0.69897836
cat__source_category_Display,0.008529427,0.7075078
num__input_count_sum,0.007481312,0.7149891
cat__last_utm_source_display,0.007167812,0.72215694
num__first_utm_medium_distinct,0.0071481816,0.72930515
cat__source_category_Direct Mail,0.006398541,0.7357037
cat__last_utm_source_qr,0.0062515163,0.7419552
cat__source_category_Paid Social,0.005877057,0.7478323
cat__source_category_Referral,0.0057477704,0.7535801
cat__first_utm_source_facebook,0.005517183,0.7590973
cat__first_utm_source_pla,0.0053137764,0.76441103
cat__source_category_3_Retargeting Low Existing,0.0053132866,0.7697243
cat__source_category_2_PLA,0.0049904482,0.77471477
cat__first_utm_medium_None,0.004761507,0.7794763
cat__source_category_2_Journey,0.0046977056,0.78417397
cat__source_category_2_Retargeting,0.004678418,0.7888524
cat__last_utm_medium_criteo,0.004661966,0.7935144
num__session_count,0.004502499,0.79801685
cat__source_category_2_SMS,0.004471657,0.8024885
cat__first_utm_medium_google_ads,0.0043644593,0.80685294
cat__source_category_2_Branded,0.004306991,0.8111599
cat__source_category_2_Promotion,0.004185715,0.81534564
cat__last_utm_medium_cj,0.004135427,0.8194811
cat__last_utm_source_sms,0.00409809,0.8235792
cat__last_utm_medium_autoshipsave,0.00409335,0.82767254
cat__first_utm_medium_sfmc,0.0039703236,0.83164287
cat__first_utm_medium_sms,0.003960386,0.83560324
cat__last_utm_source_search,0.0039005831,0.8395038
num__first_utm_content_distinct,0.0038951058,0.8433989
cat__last_utm_medium_email,0.0038862308,0.84728515
cat__source_category_2_Prospecting,0.0038809879,0.8511661
cat__last_utm_source_None,0.0038762374,0.85504234
cat__first_utm_source_sms,0.0038591297,0.85890144
cat__source_category_3_Retargeting Mid New,0.0038544885,0.86275595
cat__last_utm_medium_facebook,0.00382003,0.86657596
cat__source_category_3_1st Party PLA,0.0037114199,0.87028736
num__multi_device,0.003678316,0.8739657
cat__last_utm_medium_bing_ads,0.0036728722,0.8776386
num__seconds_since_first_vist,0.0036719593,0.8813105
num__session_duration_avg,0.0035926749,0.8849032
cat__source_category_Organic Search,0.003566809,0.88847
cat__last_utm_medium_sfmc,0.0035654337,0.8920354
cat__source_category_Social,0.0035551777,0.8955906
num__click_count_sum,0.0035517737,0.8991424
cat__first_utm_medium_bing_ads,0.0034561248,0.9025985
cat__first_utm_medium_cj,0.0034542438,0.90605277
cat__source_category_Direct,0.0034515571,0.90950435
cat__source_category_3_3rd Party PLA,0.003433768,0.9129381
num__view_count_sum,0.003307733,0.9162459
num__source_category_distinct,0.0032364812,0.91948235
cat__last_utm_source_pla,0.0032305613,0.9227129
cat__last_utm_medium_None,0.0032303014,0.9259432
cat__source_category_2_Non-Branded,0.0032243025,0.9291675
cat__first_utm_source_display,0.0031649868,0.9323325
num__first_utm_source_distinct,0.0031483413,0.93548083
cat__last_utm_source_pocket_saves,0.0031407357,0.9386216
cat__first_utm_medium_display,0.0030417994,0.9416634
cat__first_utm_source_None,0.002992315,0.9446557
num__first_utm_term_distinct,0.0029561918,0.9476119
cat__first_utm_medium_facebook,0.002934365,0.95054626
cat__last_utm_medium_connexity,0.0028930334,0.9534393
cat__source_category_2_None,0.0028680435,0.95630735
cat__first_utm_medium_connexity,0.0027046215,0.959012
cat__first_utm_source_search,0.0026777473,0.9616897
cat__source_category_2_Retention,0.0025702338,0.9642599
cat__first_utm_source_sfmc,0.0025701118,0.96683
cat__last_utm_medium_app,0.0025633962,0.96939343
cat__source_category_3_None,0.0025281305,0.97192156
cat__last_utm_source_facebook,0.0024925754,0.9744141
cat__last_utm_medium_google_ads,0.0024157325,0.9768298
cat__first_utm_medium_autoshipsave,0.0021313555,0.97896117
cat__last_utm_medium_CPC,0.0019374287,0.9808986
cat__source_category_2_Need State,0.0018061032,0.9827047
cat__source_category_3_Retargeting Mid Existing,0.0017686943,0.9844734
cat__source_category_Other,0.0017561403,0.98622954
cat__source_category_2_Facebook,0.0014987194,0.98772824
cat__last_utm_medium_narvar,0.0014789345,0.98920715
cat__source_category_2_Reactivation,0.0013725451,0.99057966
cat__source_category_Affiliates,0.001294735,0.9918744
cat__first_utm_medium_CPC,0.0012695534,0.993144
cat__last_utm_medium_sms,0.0012022259,0.9943462
cat__source_category_3_Retargeting Low New,0.0011987382,0.9955449
cat__first_utm_medium_criteo,0.0010329064,0.9965778
cat__source_category_2_Twitter,0.0008689971,0.9974468
cat__first_utm_medium_zalo,0.0006219042,0.9980687
cat__last_utm_medium_qr,0.00060377317,0.9986725
cat__first_utm_source_shopping,0.00051263155,0.99918514
cat__last_utm_source_shopping,0.0004286171,0.99961376
cat__first_utm_medium_narvar,0.00038624252,1.0
cat__last_utm_source_curalate_instagram_story,0.0,1.0
cat__last_utm_source_Website,0.0,1.0
cat__last_utm_source_clubhouse,0.0,1.0
cat__last_utm_source_chrome,0.0,1.0
cat__last_utm_source_awin,0.0,1.0
cat__last_utm_source_curalate_like2buy,0.0,1.0
cat__last_utm_source_affiliate,0.0,1.0
cat__last_utm_source_criteo,0.0,1.0
cat__last_utm_source_RatingsAndReviews,0.0,1.0
cat__last_utm_medium_product_shelf,0.0,1.0
cat__last_utm_source_Salestab,0.0,1.0
cat__last_utm_source_Sales-tab-V22,0.0,1.0
cat__last_utm_medium_social,0.0,1.0
cat__last_utm_medium_referral,0.0,1.0
cat__last_utm_source_PRR,0.0,1.0
cat__last_utm_source_Klaviyo,0.0,1.0
cat__last_utm_source_Flipboard,0.0,1.0
cat__last_utm_source_AWin-57697,0.0,1.0
cat__last_utm_source_--sanitized--,0.0,1.0
cat__last_utm_medium_zalo,0.0,1.0
cat__last_utm_source_curalate_touchpoint,0.0,1.0
cat__last_utm_medium_vitamins,0.0,1.0
cat__last_utm_medium_trade_desk,0.0,1.0
cat__last_utm_medium_youtube,0.0,1.0
cat__last_utm_source_site_default,0.0,1.0
cat__first_utm_medium_curalate_like2buy_7z6mOpwm__3ab4ca97-a499-4024-8cc4-616a82a3a7f3,0.0,1.0
cat__last_utm_source_getlasso,0.0,1.0
cat__source_category_3_Retargeting Legacy,0.0,1.0
cat__source_category_2_YouTube,0.0,1.0
cat__source_category_2_Pinterest,0.0,1.0
cat__first_utm_medium_Bing_ads,0.0,1.0
cat__source_category_2_Instagram,0.0,1.0
cat__first_utm_medium_Default,0.0,1.0
cat__first_utm_medium_Puritans,0.0,1.0
cat__first_utm_medium_Sales-Tab,0.0,1.0
cat__first_utm_medium_Sales-Tab-V2,0.0,1.0
cat__first_utm_medium_Shopping,0.0,1.0
cat__first_utm_medium_affiliate,0.0,1.0
cat__source_category_Connexity,0.0,1.0
cat__first_utm_medium_bing_,0.0,1.0
cat__last_utm_source_zalo,0.0,1.0
cat__last_utm_source_youtube,0.0,1.0
cat__last_utm_source_yahoo,0.0,1.0
cat__last_utm_source_trustpilot,0.0,1.0
cat__last_utm_source_social,0.0,1.0
cat__last_utm_medium_postcard,0.0,1.0
cat__first_utm_medium_company_profile,0.0,1.0
cat__last_utm_source_referral,0.0,1.0
cat__last_utm_source_puritan,0.0,1.0
cat__last_utm_source_pocket_reader,0.0,1.0
cat__last_utm_source_og_test,0.0,1.0
cat__last_utm_source_mail,0.0,1.0
cat__last_utm_source_klarna,0.0,1.0
cat__last_utm_source_google,0.0,1.0
cat__last_utm_medium_prnewswire,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__d4b54439-f133-4b6b-a6f5-29010e0a7440,0.0,1.0
cat__last_utm_medium_og_sticky_header,0.0,1.0
cat__first_utm_source_Flipboard,0.0,1.0
cat__first_utm_source_RatingsAndReviews,0.0,1.0
cat__first_utm_source_Sales-tab-V22,0.0,1.0
cat__first_utm_source_Salestab,0.0,1.0
cat__first_utm_source_Website,0.0,1.0
cat__first_utm_source_affiliate,0.0,1.0
cat__first_utm_source_clubhouse,0.0,1.0
cat__first_utm_source_criteo,0.0,1.0
cat__first_utm_source_curalate_like2buy,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__8819b535-6e37-43f8-8f50-94be12526118,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__67aa80ab-66b4-40bd-9b3c-118e398409d4,0.0,1.0
cat__first_utm_source_getlasso,0.0,1.0
cat__first_utm_source_klarna,0.0,1.0
cat__first_utm_source_mail,0.0,1.0
cat__first_utm_source_native,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__5d278e05-b741-4b84-9931-2bc87d46a122,0.0,1.0
cat__first_utm_source_pocket_reader,0.0,1.0
cat__first_utm_source_puritan,0.0,1.0
cat__first_utm_source_qr,0.0,1.0
cat__first_utm_source_referral,0.0,1.0
cat__first_utm_source_PRR,0.0,1.0
cat__first_utm_source_AWin-57697,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__35134bf6-519d-49c8-868a-9ce38f5acaa7,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__a1b83c1c-f50b-49be-b5ed-4aadec91c1ce,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__e6bae0aa-8ecd-448a-874c-0e0b132562a3,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__f4a8025f-b20e-4213-8604-f1fbba78a9a0,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__c692be37-7d11-4bac-966a-2f0314f09052,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__bf0508f2-cfbe-4632-b0a7-d7c1420bc398,0.0,1.0
cat__first_utm_medium_grupelapkritis,0.0,1.0
cat__first_utm_medium_grupesausis,0.0,1.0
cat__first_utm_medium_grupespalis,0.0,1.0
cat__first_utm_medium_postcard,0.0,1.0
cat__first_utm_medium_prnewswire,0.0,1.0
cat__first_utm_medium_product_shelf,0.0,1.0
cat__first_utm_medium_qr,0.0,1.0
cat__first_utm_medium_referral,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__b54577d4-dacc-4284-a5f9-b654ea9a12a2,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__a465deb2-3ab7-4773-94f1-722ca0fecb9b,0.0,1.0
cat__first_utm_medium_social,0.0,1.0
cat__first_utm_medium_trade_desk,0.0,1.0
cat__first_utm_medium_vitamins,0.0,1.0
cat__first_utm_medium_yahoo_gemini,0.0,1.0
cat__first_utm_medium_youtube,0.0,1.0
cat__first_utm_source_site_default,0.0,1.0
cat__first_utm_source_social,0.0,1.0
cat__last_utm_medium_grupespalis,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__18e8d0aa-9094-49ab-902a-6414cd4ccc1a,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__3435814f-725c-4f0b-9aef-23d8436e738e,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__35134bf6-519d-49c8-868a-9ce38f5acaa7,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__5d278e05-b741-4b84-9931-2bc87d46a122,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__708d8916-0a10-4413-8443-77aa8eabdefc,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__8819b535-6e37-43f8-8f50-94be12526118,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__a465deb2-3ab7-4773-94f1-722ca0fecb9b,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__bf0508f2-cfbe-4632-b0a7-d7c1420bc398,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__c692be37-7d11-4bac-966a-2f0314f09052,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__d4b54439-f133-4b6b-a6f5-29010e0a7440,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__dca0b5c5-cc9c-467d-8e3c-daf7eeeba29b,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__e49e5ded-7cdf-492f-8917-08ebf64c4320,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__f4a8025f-b20e-4213-8604-f1fbba78a9a0,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__ffd6659d-7a6d-4382-a7a2-466dde12b5e5,0.0,1.0
cat__last_utm_medium_curalate_reserved,0.0,1.0
cat__last_utm_medium_display,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__e49e5ded-7cdf-492f-8917-08ebf64c4320,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__0c0b665a-a857-40bc-81f9-d89b5a0f98b9,0.0,1.0
cat__last_utm_medium_grupelapkritis,0.0,1.0
cat__last_utm_medium_grupesausis,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__293a564f-06c4-426e-abca-42715b7fbe55,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__18b0a9ee-8857-4641-9b97-fabd6f93c209,0.0,1.0
cat__first_utm_source_trustpilot,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__15860788-30d3-4459-93b1-d89f282ff5a1,0.0,1.0
cat__first_utm_source_youtube,0.0,1.0
cat__first_utm_source_zalo,0.0,1.0
cat__last_utm_medium_--sanitized--,0.0,1.0
cat__last_utm_medium_Bing_ads,0.0,1.0
cat__last_utm_medium_Default,0.0,1.0
cat__last_utm_medium_Puritans,0.0,1.0
cat__last_utm_medium_Sales-Tab,0.0,1.0
cat__last_utm_medium_Sales-Tab-V2,0.0,1.0
cat__last_utm_medium_Shopping,0.0,1.0
cat__last_utm_medium_affiliate,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__3435814f-725c-4f0b-9aef-23d8436e738e,0.0,1.0
cat__last_utm_medium_bing_,0.0,1.0
cat__last_utm_medium_campaign-email,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__293a564f-06c4-426e-abca-42715b7fbe55,0.0,1.0
cat__last_utm_medium_company_profile,0.0,1.0
cat__last_utm_medium_cpc,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__18b0a9ee-8857-4641-9b97-fabd6f93c209,0.0,1.0
cat__last_utm_medium_curalate_igs_direct__media-import.mis_03bc806f-ec69-4882-8e69-917f1a47edff.3216,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__0c0b665a-a857-40bc-81f9-d89b5a0f98b9,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__15860788-30d3-4459-93b1-d89f282ff5a1,0.0,1.0
